,HITId,WorkerId,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,image_url_x,labeled_image_fnames
111,3TKXBROM5TNXCRL6895CEINV9KMJIH,AME98XVLFFLCH,"[{""height"":230,""label"":""Shoe"",""left"":213,""top"":141,""width"":446},{""height"":230,""label"":""Shoe"",""left"":374,""top"":7,""width"":296}]",450,800,https://storage.googleapis.com/shoes_to_label/shoe1205.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=olmFQtAB9aVs%2FmD8qx2otVMjDgGybMbETTddtvdgfLEz9BuVj9A5gv9uiZPJ4LBDDBvnEzMvstHYL0ZadUQGOp2NusdTdUb1A3YwHEbzutuLrawR%2B8A3Fa2zdHOHtOKoCc%2BLBUzAzTxP6yfXan7PwDF%2Bfk6JAYXsgd5B2iNnNsxW3%2BlGxoePUKaiqSQdhAroWmrLwk9y7Wvx8Pg8%2B41DezfMJzcrIolhb8QWebOd6crNFYAOglV3thlsV%2BRrYWZuAaXpKQXaJ2Yajnl2YYvg5dTuamPC59qD%2F7JGOH%2FRuQaqmnXEgOKqUJ%2B74TDlmZ43yO4hS%2F%2F%2FAjsfTDpJVPVHbg%3D%3D,shoe_bb_111.png
112,3BDORL6HKKQNXCIJO4IZ56BR6WWCR0,A28KOHY6EZ23GI,"[{""height"":109,""label"":""Shoe"",""left"":144,""top"":0,""width"":53},{""height"":111,""label"":""Shoe"",""left"":98,""top"":0,""width"":49},{""height"":98,""label"":""Shoe"",""left"":50,""top"":0,""width"":60},{""height"":100,""label"":""Shoe"",""left"":8,""top"":5,""width"":59},{""height"":87,""label"":""Shoe"",""left"":34,""top"":107,""width"":65},{""height"":95,""label"":""Shoe"",""left"":71,""top"":90,""width"":58},{""height"":95,""label"":""Shoe"",""left"":128,""top"":99,""width"":43},{""height"":90,""label"":""Shoe"",""left"":168,""top"":101,""width"":54}]",194,259,https://storage.googleapis.com/shoes_to_label/shoe1371.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=AjglwD9An2qUlESdY4yz8ECFy79ZQQnAWGqMwP6lvu3BaA0VouE34wUKAfyhcHTO2fV5s7g7O6%2F2H9gYk%2BbtgO%2F1Y0QmJBTD5MPGOwY5uCgv9k67hdR1Tyzz9n9VQRocqls3z%2Fne%2Frnya%2Biwytt4zgWKVG8a0IqkqVGKELBTKC5LqkCU7iGUIrRb8729L971ypl5llv9gPtoRBNxes99KzYW%2BXleKtOUKwzsiNbrm%2FfGO9O0aDrJh27WWzsarnY%2BPJRmMrSMIGmgGYFoaxVyWsVWOzbMasPjQRGwlinG2Mzn6kbRQC0kpTXgACl%2FKQgvXYnJeu74ErtnxM3dPj1hMQ%3D%3D,shoe_bb_112.png
113,3S1L4CQSFXI217GCDVMEIM7K350AF1,A1ZMSZ4SOJYLMX,"[{""height"":86,""label"":""Shoe"",""left"":88,""top"":43,""width"":45},{""height"":92,""label"":""Shoe"",""left"":132,""top"":23,""width"":70}]",183,275,https://storage.googleapis.com/shoes_to_label/shoe230.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=dB75oMu0w56148PFVobv1h4syjvLBN4vANL%2BFoVFc0gr7CgV52diRUt0AFDxWpa6pPPSVnB%2Fhm0sSLbTHd9arJU6MpIgJs1lWIpOaEmremYC38qlpWDdmJdcuqeGFH2YtM5OU5QkEMDOJoVtD2MI7xbrLE2qTQ8KGV94CG7M1TV3gjE3FEjAi0gDHAUOe9pWa9P8ZLQQgz5w6mFfmkN5t0e3RrjSZSXugLu1HEh8CszlTKq4HzLwNjsbDoRih1m%2FAhPYuk0pIuv4M%2B9LyOWdg85x1F%2FhXEsiJWHPweHDYJ3bor95hG4OckbF1J%2FaIquZJ5zr5yEoLfFxKx6%2BD9YZQA%3D%3D,shoe_bb_113.png
114,386659BNTLUFAFOMEUA04ERDT95100,A2XQPCBEHMYRSQ,"[{""height"":137,""label"":""Shoe"",""left"":51,""top"":26,""width"":231}]",163,310,https://storage.googleapis.com/shoes_to_label/shoe1009.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=dipxdPyKAPOt9vKwwwtBdLrVzvEs1K%2FYVwidr4hRyFcC6asLCeqVF%2BYkwdcLtcdW3LqRGmd1ie5PkQvTXtFfeV8M4bN3y85RnyI9Y%2BG7UExAC3vqfucw0dyk6SSCHdk8M7lSb8aKuie6miKKJwL59jjQH6SEyQBgYMdVe9eCqBsMN5U%2FLd3xGeobSCzC%2FJB5v%2BB%2BJIFNp2oa32io49U9wLAewP8KJ8wsKK86rgHkhqwJUNAtNO3I1ncpUtJsmnTkdpF77XVLlp2v1v9pToejGQ98gqEQBuBbX2x0Wk7%2FhYJtfmpWdqxtu4d2VQHgx%2FMQ2fGvhuyOsI5WW1NUdo2MIQ%3D%3D,shoe_bb_114.png
115,3XABXM4AJ1IL98D6UDDUYU53KJ98QP,AME98XVLFFLCH,"[{""height"":44,""label"":""Shoe"",""left"":87,""top"":206,""width"":21},{""height"":50,""label"":""Shoe"",""left"":101,""top"":166,""width"":28}]",275,183,https://storage.googleapis.com/shoes_to_label/shoe614.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=kivg8Z1K0SqoNY4ivnklgKaeG6voy14uyI%2FCwPFL6%2BQuq0u3AtJ2QaX%2B2dBUpdLySQyocrFm7dxNf%2FFyEf5wMER2r1Q28IU%2FjuErQtk7AnNWXmEWP9KDhOcB9oR3m9QzpOde9RB4LeewR3zJWu%2FARHfp5lh1Wc13j92yYNTLC97JvkYzBvykTdO48vtD4hn5JydMwwiesM0paQmuAacbnZg2nSpfpS0u2iH%2BDb4VbzERsSQH85DEGSEzmp95OqnxlrmA347SN2Y%2FA6p0%2BiDZWZfgE%2FKH1CZ2RpgKa1vsA7krjRyFKLxzJnL36aQwsjB8Iomj2trrH7xAmvKvUEsfhQ%3D%3D,shoe_bb_115.png
117,3IKMEYR0LW8OCQDM1RKWSHGRZDPK26,A1BSW1IB5IEEZ6,"[{""height"":64,""label"":""Shoe"",""left"":138,""top"":75,""width"":103}]",192,263,https://storage.googleapis.com/shoes_to_label/shoe1372.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=nLx0WtgKagIC5xk8EeJDxffujBpwQTVBFMGlHqI0ggfzHHpw2k12qEkWvR92VmtoJEAJBImi4pSxH6GbxrFh1sINd%2FgnYIcjppJnPSkWHRhdH7W84MFVcA77uL6JdZqoW2e5DWClTwa8IbTJSQjI2z3ECK1rVxAVJGY0CtRPASbDaMjweZUqJBjYPxyKtBy%2F65CtK21MdcH6%2FNW9Fl0MYPGbfwQ6%2BOJCazWBfMINwuyzOWnI32ktQ%2Fm0SovakMEh0L4njwHW1r3USe38RZp3PZ01gwGNivCM%2BxrriekhBUQ%2FHsiy7nLSSdqobsxvVEcDUEBJCydF0UVeM73aZw7i%2FA%3D%3D,shoe_bb_117.png
118,374UMBUHN520DRVBSTNU5LC9UHSTCT,A18UH8VWGMHB81,"[{""height"":82,""label"":""Shoe"",""left"":137,""top"":28,""width"":106}]",159,318,https://storage.googleapis.com/shoes_to_label/shoe101.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=VzC1XS%2BB82AOt2RxwQr%2B8umezddVjFflODXMTAz%2FEk1jXkPr0pYQkzX4sYJceqtmfnfLgNtKA%2BktA2E%2F9qn%2B0gibo8ppLwDvYnYaevuQ2AzSGOFGkfNmZs4NVVN3P5v7QLLiDMlXkN1UmGU68RXpb2nkYG7QZ1oYBZzGaYwDs9txC2w8zu3Gmp5ueO4Wf5BiOI8Vk%2BlkTmcc8U81k4wRZAX%2FR6L9bRoXJUZWlXFmySqEdfxaW%2BbgCkDA2NSmYfStijILMvjTk0dK8CNtR35K1JcV1Ord%2B2nvnz21WsqufagZkIYJsIsaE0dRBFMd2a6F%2F6OIhZIQY0AHWE0ORT1INw%3D%3D,shoe_bb_118.png
119,3RZS0FBRWKN2LZ24BCEA0BBC5E8CP8,A3JBAUWN5T7E0Q,"[{""height"":134,""label"":""Shoe"",""left"":200,""top"":35,""width"":74},{""height"":63,""label"":""Shoe"",""left"":106,""top"":111,""width"":64}]",183,275,https://storage.googleapis.com/shoes_to_label/shoe231.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=D50m9LwDFQQ4JjRe8et1mExaVR28OX2tfFX6XZ%2BKGJov8gmMOo8ozE8pLg55RaXgxhR5hkH0VJFXhZoTVs8WJhci3ER%2FLpEa9mvF8ta%2FksIWzHCDW14kNVNx%2FkdHjwUXCNktaYq%2BTwBa%2BVfU9kGk%2FaVjgmrZT2e496zONDWFiPst1Q%2FgRUfR7IDExg3gG4RjuK6INk1J7Pj12hY2gb5r%2BhxtrOmr3JHAdqHIO23oyGOL8OTvh0EEWzjNyq7s9bOGu0g1NHyNDu3cbvgUbzR1nMCw9G08sWKcGfS0xctzc1M1k1nKSDF2Qh3mk8KNOehmU2%2FVtYzckFfibJ8dkhOuYQ%3D%3D,shoe_bb_119.png
120,3ZQX1VYFTDIIOW0QF0LQ9PA35IR8OH,A2WTDVHVVORNDU,"[{""height"":47,""label"":""Shoe"",""left"":39,""top"":98,""width"":59},{""height"":47,""label"":""Shoe"",""left"":92,""top"":119,""width"":57}]",275,183,https://storage.googleapis.com/shoes_to_label/shoe615.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=BX9PHvgoLdSjRHfRQSPu9aparfqgFwn84LJpVnS%2BYa%2F%2FF5KFkpmKQ5osqWfl%2ByZ5jWFzIe4V7fHam66oh0ydkwHy1g%2F8XNHsv1LdJXoqR%2FLdDvgmoR4AOIl3BqI60tK9saChj%2FQ2PrAjcULnoggYdaUcg5MIJbV9XEV6oeAUkvU1ukFJ5vqlb6H0KLEHPzr8rM20XQ3Ew6RK9nGS4hkR4210SZgMsxfNCloeAmnylliIpqd9i9TsD0O2kWPfsp22wlPVd%2BSkCODFAzG9Oou9o%2FX5FOeFTCpnQfPV%2FBLWwbv7g7faZ9KwGRNhOPbM1gPa4KZ4A%2Fevc8OtcbjrKNzNxQ%3D%3D,shoe_bb_120.png
121,3W0KKJIARRMZY5FBH8TX28TULDH8KX,AME98XVLFFLCH,"[{""height"":58,""label"":""Shoe"",""left"":125,""top"":70,""width"":97},{""height"":47,""label"":""Shoe"",""left"":46,""top"":73,""width"":110}]",183,275,https://storage.googleapis.com/shoes_to_label/shoe415.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=HuX2dFN5REYgkhCQKa2Kg%2B7yKq3kpQQX%2F4N2A7NH9iLrXtPtLU2o84od3B1EXej90vUqenlzdAazsP3GiKWK2SXU8AHP%2B%2B3bdBQc%2ByxoiSIsRxVOV%2Fu%2BcFftdjYgZ0v%2F6v%2Fq%2BZK5ExdB4gm94DR0mxQivPqemZtwIb1nJoP592VFPg724hnvwwRMm0B13Anq8QHrOvePi721XeTdA5JrCUYP%2BxUC%2Fe1cim4TTLAzNhhL6RfcOjR1fad3JszeWCxpDmusZxW%2FqFdUURrHn8M4%2Fm8bq9esGTvL3VPihXtGOlJ4kMwRO7vDmyxHMvv7x4wUs%2BCbODq5rRu456y1xVr0CA%3D%3D,shoe_bb_121.png
122,35O6H0UNLSTL03QR1PMIP9JQ4YG5JT,A2WTDVHVVORNDU,"[{""height"":57,""label"":""Shoe"",""left"":26,""top"":81,""width"":62},{""height"":54,""label"":""Shoe"",""left"":110,""top"":70,""width"":83}]",194,259,https://storage.googleapis.com/shoes_to_label/shoe1010.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=oJpb4e8v9ossbR5FufFSzN3SHeW39%2F3T1AxqDQW9NW7r6QHblmB7MVJJeECnKKcMu7Yd2Lyg0LlskLRYo8Kn%2FsnMg1i%2FhXBh25fWgylf3la6XL4ArEwEfkVrhPzSM6SvHjm74X7otDk9u9BwKdTzMEHQPbkO%2FAn6A74%2BhJY%2F7dh63%2FrsIXXeDWUdxht9orfQioiR6fXTmP0QIDFfKWsJUeAzCbFkPFUOAiSTB%2BgUBCFtPJlyjbcusYvb9GtS1Of7Po4nObVU9YWxHyZB860vpB3XNK%2BUWDb5BzMwOAAeE28VMb3X4etxVxKJFELc8yFgwaBsRkQgUo%2FikCywuL4hOg%3D%3D,shoe_bb_122.png
123,31N9JPQXIPVTZM17HPFJ7D3XIRCHNQ,A1BSW1IB5IEEZ6,"[{""height"":79,""label"":""Shoe"",""left"":258,""top"":389,""width"":136}]",592,889,https://storage.googleapis.com/shoes_to_label/shoe232.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Sh92tr3HXfDyMHCTXlmANQLSWkfAVXrtxcq3BqkfCRwuHs6jc7BR8gspz4P1y9nFrb3cOBsULeWIeugyXE6gidrYp1QrKuN5BtsxZnnl6ntbFHobxHcQJEsnS8Gaxhl1olxjFTkOLMswW4rIPt5pbcTRuhjagN%2FeJZbom5NKfbWTouuP12XjiaYTsdONoYVWqPrzf3Ht3wfAFhSLqSLewAtw0dqE76rbs5HWwjeD8o4sUcCPDHwrJk4CmKN6%2BF90%2FOLFaKgtcbapEVi2%2FQLz8VJly1Ie97uTd3yKMGqz%2F8JdPZ9cHMb4w1%2BlABkT3P8uq4S8NJuBW7mvDAKQXNxUsQ%3D%3D,shoe_bb_123.png
124,3RZS0FBRWKN2LZ24BCEA0BBC5E8PCL,A1UM0VCYXPZWRQ,"[{""height"":46,""label"":""Shoe"",""left"":166,""top"":133,""width"":36},{""height"":48,""label"":""Shoe"",""left"":139,""top"":133,""width"":39},{""height"":51,""label"":""Shoe"",""left"":98,""top"":132,""width"":47},{""height"":48,""label"":""Shoe"",""left"":73,""top"":131,""width"":33},{""height"":43,""label"":""Shoe"",""left"":0,""top"":139,""width"":38},{""height"":46,""label"":""Shoe"",""left"":33,""top"":143,""width"":44}]",225,225,https://storage.googleapis.com/shoes_to_label/shoe1373.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=mQw5WNZ7kZFWVgbg8CQrBnQ7oqppmcJeGldVcRK0zQWW0hc54gAoHL9KEA07AHAWi7WVMkgGbZbN4A4qi8QzzQRJGBmORW28ncNGAG0vOjjYon5Q4HdDhnQpiIkD1Jb69lRfowMKSvUwY9u0UEov3Cc6WitIsD7tbWZ8hQcYO48o9lN1jWufhZHOImggeHTSn132uqTwrdynXu2f%2F1y9dU7nIk3n1iD4SD3vRYWGeWVcL0HrBqdSwnO9vwTzxPFcMqBi%2BhAVqwVPDIDMwCbhyjR4CYBhoEdcz2Ed6xZAHNKAtsOi9ogMWzPRiTGNL7DfkOFSQ6RkhcD1hum0C7gFmA%3D%3D,shoe_bb_124.png
125,3OCZWXS7ZOKRVTER4AYV5OWI8NL5LV,A2EARNRMFJOSIY,"[{""height"":45,""label"":""Shoe"",""left"":62,""top"":107,""width"":29},{""height"":42,""label"":""Shoe"",""left"":170,""top"":112,""width"":32}]",194,260,https://storage.googleapis.com/shoes_to_label/shoe416.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=n9Ag4n4%2FTy33nRRxLPcpMFNWd%2BrLhNMeY%2FLVgZltiiknuNX9PcnK1WM7nnPBWQRckNe5h2KO5MM3Q8dLTwsLwLmpsML9W1e0ShvLPuXqS92BbUOJxFzOOF5sFD%2BCWvXMYAsxvdU%2FYUhW0mh5I3jkuP3zDClTqrNE0dfA6wDmVd%2FfOJwQu1St0u5Bc8KYLrA6dZh5dLPnPOfSZ0G3TQVY5Em1vUVMbi8icdPvhGwPDZJAN9ca3ZuFRL%2Bwmq08Zq9ttERujM79gjqLaNRQQek7eBRU41HdL1VYeiTD9e%2BizUYmKsCGnX6JcJu0QHr%2FKAHAzgbNKRNLxtxQBlSUYej3Mg%3D%3D,shoe_bb_125.png
127,3JTPR5MTZSPGBNW9JAMUQOJ3JNGK57,A3NNWJI1G86RJ2,"[{""height"":116,""label"":""Shoe"",""left"":52,""top"":75,""width"":195}]",194,259,https://storage.googleapis.com/shoes_to_label/shoe1374.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=j8UO9bUmS%2BMXB%2FlSCj5NxPXY0looB8iVr9P%2B0jmJ3sXMrgLfAqJoQMUaLqig2fpEIHcrBExeMbYYrbxOw%2FQPj8Jz1a197RXXPGNGnWyhr3zzxjI14I4jhIm0FPB0A7ZXxWsZ%2F4%2FiwvL1%2FjfAX8aoxVHlRjdUPQWYPHxg9vDAXT8VCT2lWSO079Y2XIZzok5fTzHzMOi4ODF%2B2Mwt27igwu%2FtojaqnJPx7E6XpxKNS3OukHPJX%2BSS6bHM1jIYHMHwhQCSlqT5OZuP%2F0NP2jaHzZpUufmlA4KTZKz3Tc4lLkgie33XMmTM5ocfKXQsdf5d%2B4CUNBH5z4l6CIVbXXzoJQ%3D%3D,shoe_bb_127.png
128,3MXX6RQ9EVIZQVPPIX8SHDZOD1R4PN,AOSFK4SX61DUA,"[{""height"":767,""label"":""Shoe"",""left"":985,""top"":609,""width"":1224},{""height"":1070,""label"":""Shoe"",""left"":1761,""top"":549,""width"":1655}]",2400,3600,https://storage.googleapis.com/shoes_to_label/shoe233.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Y9zDemSX1R86GrW3%2BmINcl%2BwArOjPZ%2F5QozODR5yq1iFizPpVu0QSk5dVXqPDC8H3%2BmLF4%2Bbe%2Baxy69mDU%2FHaLl6wvZqN6hHjF7B%2FmYs5M8KXqVs6jS6FUOrdyDamKsKUjWIvPEpohG0l5CclbjPVrctoIYzMRjQM0H7hZrMrnTssGF7OYnNvFOR8XIwzalTAta8liTWgaU4oMNtSMUkQeSx%2FlqzX82cxIICpOeenSnOnRKklLlKJYLkpY2EBTCUHj3ntdQmANj7TloIEX25DiobWhSneNcqrQViei8qEiSx2VPEybXE%2FIDHXeEhzuERPChop5C1hlL4toy0OcCdmQ%3D%3D,shoe_bb_128.png
129,37M4O367VJVB1BWC4MZA51B78SB5MX,A1KFLCWGG1RE43,"[{""height"":54,""label"":""Shoe"",""left"":128,""top"":155,""width"":37},{""height"":62,""label"":""Shoe"",""left"":44,""top"":137,""width"":44}]",260,194,https://storage.googleapis.com/shoes_to_label/shoe417.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=mCLTGHTHnrEIFBBgyP9Ixis7yogXjurlWbNxPMLT6YUZ%2BDUdDsPDJniQ9jaFpgHAx5qvuvN%2F6U0G0OXWWw2oiN8RiycItKGMHi5H1tcFud2q8TcJOrBHaFS2DFd79l7txLrVDkO%2BdXh005ggpHffinPTBKfVuGlbTDrISu0ZJNrApeyLjiuxzESGl%2Bid%2F2h1tffbVhfZQ1L5BZeZXBkKMYH7dw93gbyXaMF0t2J5klP4FGHsBdamJTzthvZk5HGTdHTpY4nlEjYcMSWxYpEMmMYP7YFuUuPTcBnFYuvV9zHPrMAUiHEc5fzBO9XpCATWxBdeb%2FAk%2Bbd1wvI0kwQaDQ%3D%3D,shoe_bb_129.png
130,3TCFMTM8HE1M6PR0THEEN2KSQ7P12K,A28Y23HPV6ZIIB,"[{""height"":105,""label"":""Shoe"",""left"":208,""top"":421,""width"":210}]",543,728,https://storage.googleapis.com/shoes_to_label/shoe1011.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=g5ReUn4tBvNT5gIf30eKE2BcYLQxX0FLpnDmZYkGlFC8j9L1GHAB%2F37zSc7yYr3WuUeIzLzLfXmQU7lzWUPPTt9sqf0nBavDVUKcz7XvrVWAJqV8fy76KQbTIftsfg5pkgczOJfz4RsR5axdAEk2uy1bKNwSuPONSRNnC8%2B6bG0%2BK3vutfi1dLIDiOQj9RkNlx13z8rngd7XwzrLX0xFZxvpbSUYt02gB16aFKkM300RDfYm8r2xie6MIv0c%2FvPQHFc0E5mOV5tp0xmIw5Mte%2FTI0FrmU1DzJfmRhw8UsmEgSGGgmDUJnYCIwW6cF0iA3IgLbLLpCb%2BW3q%2B%2Bs1QFCg%3D%3D,shoe_bb_130.png
131,3KQC8JMJGC5MVI8XZ6V4YZ5RDALH3A,A1WUM46Y2IJUGE,"[{""height"":128,""label"":""Shoe"",""left"":103,""top"":67,""width"":118}]",225,224,https://storage.googleapis.com/shoes_to_label/shoe1207.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=WQICXhIhEwu%2BBUYdXpqEudr7DWXWnUSX3ux9Pu9nWEAJ6GBHSVq1f83p8lXd%2FVdLto3iHVAls2BBzMayrDtJVwJ9BKsgDcFNr6dDjHEkD7VdUtSo6OAEnaChK1EwSacL2J1VR1lWY%2BRo0%2BwyoFGDNJGk6cJUATgbkO%2FvQ524zsDfpYfR9N0HADmQjDaXUQI4XVuOm3%2FJjfUCS%2F4Kne0fodsjXtyvjtyxDazijOyuYIev4BTAHhtGwqgDosaOw9iI1o0Vq21UDVeJSPXx%2BMze4RhZSzCMB2nrBUqRTqr7cIcul3lspySBEwjCJM%2B8n6nRPjdekYlei5p2U9KulfoLZA%3D%3D,shoe_bb_131.png
132,3S37Y8CWI8DPA4MQUJMN977K6YTW49,A7UNIWDAQROJG,"[{""height"":56,""label"":""Shoe"",""left"":129,""top"":83,""width"":118},{""height"":61,""label"":""Shoe"",""left"":99,""top"":72,""width"":81}]",188,268,https://storage.googleapis.com/shoes_to_label/shoe617.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=c7l3sXtQOSf%2BdetZ5f%2BuM9CzZEvBMf4F2oNVC4DQcF2bkoiY%2BllaZOPotumtAXhJjkw5nUgcpWI%2Bnt9mfcEryKziGnOHY99SgXqag7U6eITTDewMK45wWXiTN0u5Zp75StgCvw6yzrF5geHNYxQhVN3s5TRkjULAo6%2BER7Y%2BsrAZi0oJWdyObljdbKukVkI%2BxutdQoKWGCmI8Xi6WHdxBX4ONITSQYzhTiVTPkBmQBTVELqpYsoemnw7z5o16MmRub3lk1oc2Huh3kuSyfWkvfp7hG%2FmY1yTzFoldrnXnV6plxMpnjwVMqRhPc5gt0Ig6rgfr2CHT6Bdn8k6pQI6IA%3D%3D,shoe_bb_132.png
133,3IVKZBIBJ0MQFZTCPLW567D35QKHS2,A32UV48GF5F4ZT,"[{""height"":626,""label"":""Shoe"",""left"":322,""top"":371,""width"":679},{""height"":472,""label"":""Shoe"",""left"":529,""top"":27,""width"":319}]",1200,1393,https://storage.googleapis.com/shoes_to_label/shoe1375.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=RxowEWG2W%2BgGQyTV5weZDDC2tZQnRlkvFGMgn1rlU5dhrUqaYOkdMcmw5%2Fj3GC36H3m7alEJcYQsBy3mfKjy9OmMMDSGtnkcQWdrNnImPE7LCbJVR9Uyf4bPMPAgGiwCKc9V4XYBB2vAWTDNr1kChRdYiaW8Ebik0CiEKDf9AcRM2Wvz8RRMWlot31W5oXchABKAHcyRutNK%2B8zV%2BapW5q2gxz9gl5KmDvRkOPNbLhZY4SI6x1zxSYIR9c%2FRWimA9fvIlGOySeZUq6%2FsxeU41Py7V7u0It0Oe2Xwi7xCiIH%2B0tVeUqBCMYHJ2VpX3h4Qyapeg3PfFSl67AF3Rtu5pw%3D%3D,shoe_bb_133.png
134,3PA41K45VNHW9I78KV6ZKPJY43HP7S,A3CHLHS2G2UDXH,"[{""height"":138,""label"":""Shoe"",""left"":55,""top"":49,""width"":175}]",194,259,https://storage.googleapis.com/shoes_to_label/shoe234.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=JeQX9mi9pmphvZUU%2BH2O%2BHiemtl8QN%2FzHi5lLRa3PS15LQaY2b0F91nGhOsNXGXPYqsQE1F19psrD34v9K%2BwuHItZcA1vk2U6ZFtEo%2FQ7XdbeSiTHbEkYX%2F2D3aorGDDNRURAoWEmIejI%2Bt%2Bn30xETuSpassQ77mzqmDo83f%2BYzkle%2FMt%2F%2Beo638FY0cp2BMfsAxiIq7saPgmAf5UfJzxscD%2Br55M%2BSEV%2BIaUqbgA5AaUSIbKEsX6uc54RgWFngFu9KZm%2B%2B%2FDdSnplnmnm4cIq%2BKyfb5OMhM1viodMV9g07HZQH%2FzQSZ3TyYVkzO%2BqYQDrZWziJa5nGWy9gtsg6hwA%3D%3D,shoe_bb_134.png
135,3KTZHH2ONISUOTFE2K6DHLLYAIC8M2,A1580MT585M44G,"[{""height"":265,""label"":""Shoe"",""left"":63,""top"":148,""width"":117},{""height"":130,""label"":""Shoe"",""left"":258,""top"":474,""width"":251}]",685,540,https://storage.googleapis.com/shoes_to_label/shoe1012.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=MH%2BcZWJ7LSUBfnPfZ920TXa2425GJUgI72kWAGMO3xi2cPdSTT6qt%2BwJnG4Ff4NgmWeRURVmVRVUbsno8%2BMlb9Sg0R5L%2BrKoAfIuSFdVADYYFjW9PTW1Act6epmLCL1U%2FK9rQ%2FCI4boL4OA7iHYtev6N95iVEmvuOv6bGPGgb5TceWCqDpg4R4cXkFN0ImYOljj%2FBgXvcOL6Fb3ctuLw4a5NpH86eIE05mm33BOj54l498abnijV%2FflO1q7LymiPKfeypayJYZw7dx3APIelqAEnDrHmX6plr3UB99NCLPqggEePhRJJYVrKTMknA%2B9Dy%2F3P61Gpwa4z%2Bs3RbYYy1Q%3D%3D,shoe_bb_135.png
136,39N6W9XWRD09BPAA4L6C3TP37B2YGX,A1MYCZT6OX9G20,"[{""height"":95,""label"":""Shoe"",""left"":41,""top"":54,""width"":129},{""height"":101,""label"":""Shoe"",""left"":151,""top"":52,""width"":75}]",183,275,https://storage.googleapis.com/shoes_to_label/shoe618.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=pLD8BRtp9%2BBqvhk2HD%2BGBjw493bH9cyIFmc%2Biri97y6bnKkGlZi4120QoyveeJSUNY24%2FTKXrv9aav8t85oJV44D3dgvRM9k3HSCYeEmBWlyuaFEZJwWpbz7rJu0zKJEdYO4FelO00BUC60Y8CJY%2F3KvxBBj6gvnufUa%2FKK9QUE7%2FEXpIR7RumrB%2BGrW%2B9%2BUDGk4zqRe4xFcMKCIfARsHxGHGFDzx9QsZrDZNyDXDfsKJvKHkw%2BaOsagcbmYo6GtfkJXC0aAIsFp8FfoWpWKuAddLvLJamG2EF6FY76gmsU91rBev4u9sT8OrBuNc3swTiCyQuZmoM6zlyaRIvHM3Q%3D%3D,shoe_bb_136.png
